Município,Municípios com serviço de esgotamento sanitário por rede coletora em funcionamento e com ETEs (Unidades),Número de ETEs (Unidades)
Vila Nova do Piauí (PI),0,0
Wall Ferraz (PI),0,0
Abaiara (CE),0,0
Acarape (CE),1,1
Acaraú (CE),1,1
Acopiara (CE),1,1
Aiuaba (CE),0,0
Alcântaras (CE),1,1
Altaneira (CE),1,1
Alto Santo (CE),0,0
Amontada (CE),0,0
Antonina do Norte (CE),0,0
Apuiarés (CE),0,0
Aquiraz (CE),1,1
Aracati (CE),1,2
Aracoiaba (CE),0,0
Ararendá (CE),0,0
Araripe (CE),1,1
Aratuba (CE),1,1
Arneiroz (CE),0,0
Assaré (CE),0,0
Aurora (CE),1,1
Baixio (CE),0,0
Banabuiú (CE),0,0
Barbalha (CE),1,1
Barreira (CE),1,3
Barro (CE),1,1
Barroquinha (CE),1,4
Baturité (CE),1,3
Beberibe (CE),1,1
Bela Cruz (CE),1,1
Boa Viagem (CE),0,0
Brejo Santo (CE),0,0
Camocim (CE),1,1
Campos Sales (CE),1,1
Canindé (CE),1,2
Capistrano (CE),0,0
Caridade (CE),0,0
Cariré (CE),0,0
Caririaçu (CE),0,0
Cariús (CE),0,0
Carnaubal (CE),0,0
Cascavel (CE),1,1
Catarina (CE),1,1
Catunda (CE),0,0
Caucaia (CE),1,9
Cedro (CE),1,5
Chaval (CE),0,0
Choró (CE),0,0
Chorozinho (CE),0,0
Coreaú (CE),1,1
Crateús (CE),1,14
Crato (CE),1,1
Croatá (CE),1,2
Cruz (CE),0,0
Deputado Irapuan Pinheiro (CE),0,0
Ereré (CE),0,0
Eusébio (CE),1,1
Farias Brito (CE),0,0
Forquilha (CE),1,1
Fortaleza (CE),1,42
Fortim (CE),0,0
Frecheirinha (CE),1,1
General Sampaio (CE),0,0
Graça (CE),1,4
Granja (CE),1,1
Granjeiro (CE),1,1
Groaíras (CE),0,0
Guaiúba (CE),1,1
Guaraciaba do Norte (CE),1,2
Guaramiranga (CE),1,1
Hidrolândia (CE),0,0
Horizonte (CE),1,1
Ibaretama (CE),0,0
Ibiapina (CE),0,0
Ibicuitinga (CE),0,0
Icapuí (CE),0,0
Icó (CE),1,1
Iguatu (CE),1,5
Independência (CE),1,1
Ipaporanga (CE),0,0
Ipaumirim (CE),0,0
Ipu (CE),0,0
Ipueiras (CE),0,0
Iracema (CE),0,0
Irauçuba (CE),0,0
Itaiçaba (CE),0,0
Itaitinga (CE),1,1
Itapajé (CE),1,1
Itapipoca (CE),1,2
Itapiúna (CE),0,0
Itarema (CE),1,1
Itatira (CE),0,0
Jaguaretama (CE),1,1
Jaguaribara (CE),1,1
Jaguaribe (CE),1,1
Jaguaruana (CE),0,0
Jardim (CE),0,0
Jati (CE),0,0
Jijoca de Jericoacoara (CE),1,2
Juazeiro do Norte (CE),1,5
Jucás (CE),1,1
Lavras da Mangabeira (CE),0,0
Limoeiro do Norte (CE),1,2
Madalena (CE),0,0
Maracanaú (CE),1,10
Maranguape (CE),1,2
Marco (CE),0,0
Martinópole (CE),0,0
Massapê (CE),1,1
Mauriti (CE),1,1
Meruoca (CE),0,0
Milagres (CE),0,0
Milhã (CE),0,0
Miraíma (CE),0,0
Missão Velha (CE),1,1
Mombaça (CE),0,0
Monsenhor Tabosa (CE),0,0
Morada Nova (CE),1,1
Moraújo (CE),0,0
Morrinhos (CE),0,0
Mucambo (CE),1,2
Mulungu (CE),1,2
Nova Olinda (CE),0,0
Nova Russas (CE),1,3
Novo Oriente (CE),1,1
Ocara (CE),1,1
Orós (CE),0,0
Pacajus (CE),1,1
Pacatuba (CE),1,1
Pacoti (CE),1,2
Pacujá (CE),0,0
Palhano (CE),0,0
Palmácia (CE),1,2
Paracuru (CE),1,1
Paraipaba (CE),1,2
Parambu (CE),0,0
Paramoti (CE),1,1
Pedra Branca (CE),0,0
Penaforte (CE),0,0
Pentecoste (CE),0,0
Pereiro (CE),0,0
Pindoretama (CE),0,0
Piquet Carneiro (CE),0,0
Pires Ferreira (CE),0,0
Poranga (CE),1,1
Porteiras (CE),1,2
Potengi (CE),0,0
Potiretama (CE),0,0
Quiterianópolis (CE),0,0
Quixadá (CE),1,4
Quixelô (CE),1,2
Quixeramobim (CE),0,0
Quixeré (CE),0,0
Redenção (CE),1,1
Reriutaba (CE),0,0
Russas (CE),1,1
Saboeiro (CE),1,1
Salitre (CE),1,1
Santana do Acaraú (CE),0,0
Santana do Cariri (CE),0,0
Santa Quitéria (CE),0,0
São Benedito (CE),1,5
São Gonçalo do Amarante (CE),1,2
São João do Jaguaribe (CE),1,1
São Luís do Curu (CE),1,1
Senador Pompeu (CE),0,0
Senador Sá (CE),0,0
Sobral (CE),1,8
Solonópole (CE),0,0
Tabuleiro do Norte (CE),1,1
Tamboril (CE),0,0
Tarrafas (CE),1,1
Tauá (CE),1,1
Tejuçuoca (CE),0,0
Tianguá (CE),1,5
Trairi (CE),1,1
Tururu (CE),0,0
Ubajara (CE),0,0
Umari (CE),0,0
Umirim (CE),0,0
Uruburetama (CE),0,0
Uruoca (CE),1,1
Varjota (CE),0,0
Várzea Alegre (CE),1,1
Viçosa do Ceará (CE),1,1
Acari (RN),1,1
Açu (RN),0,0
Afonso Bezerra (RN),1,1
Água Nova (RN),0,0
Alexandria (RN),0,0
Almino Afonso (RN),0,0
Alto do Rodrigues (RN),1,1
Angicos (RN),0,0
Antônio Martins (RN),1,2
Apodi (RN),0,0
Areia Branca (RN),0,0
Arês (RN),0,0
Campo Grande (RN),0,0
Baía Formosa (RN),0,0
Baraúna (RN),0,0
Barcelona (RN),0,0
Bento Fernandes (RN),0,0
Bodó (RN),0,0
Bom Jesus (RN),0,0
Brejinho (RN),0,0
Caiçara do Norte (RN),0,0
Caiçara do Rio do Vento (RN),1,1
Caicó (RN),1,3
Campo Redondo (RN),1,3
Canguaretama (RN),0,0
Caraúbas (RN),0,0
Carnaúba dos Dantas (RN),1,1
Carnaubais (RN),1,1
Ceará-Mirim (RN),1,1
Cerro Corá (RN),0,0
Coronel Ezequiel (RN),0,0
Coronel João Pessoa (RN),0,0
Cruzeta (RN),0,0
Currais Novos (RN),1,3
Doutor Severiano (RN),1,1
Parnamirim (RN),1,12
Encanto (RN),0,0
Equador (RN),0,0
Espírito Santo (RN),1,1
Extremoz (RN),0,0
Felipe Guerra (RN),0,0
Fernando Pedroza (RN),0,0
Florânia (RN),1,1
Francisco Dantas (RN),0,0
Frutuoso Gomes (RN),0,0
Galinhos (RN),0,0
Goianinha (RN),1,2
Governador Dix-Sept Rosado (RN),0,0
Grossos (RN),0,0
Guamaré (RN),1,1
Ielmo Marinho (RN),0,0
Ipanguaçu (RN),0,0
Ipueira (RN),0,0
Itajá (RN),0,0
Itaú (RN),0,0
Jaçanã (RN),1,1
Jandaíra (RN),0,0
Janduís (RN),0,0
Januário Cicco (RN),0,0
Japi (RN),0,0
Jardim de Angicos (RN),0,0
Jardim de Piranhas (RN),0,0
Jardim do Seridó (RN),0,0
João Câmara (RN),1,1
João Dias (RN),0,0
José da Penha (RN),1,1
Jucurutu (RN),1,1
Jundiá (RN),0,0
Lagoa d'Anta (RN),0,0
Lagoa de Pedras (RN),0,0
Lagoa de Velhos (RN),0,0
Lagoa Nova (RN),1,1
Lagoa Salgada (RN),0,0
Lajes (RN),1,1
Lajes Pintadas (RN),1,1
Lucrécia (RN),1,1
Luís Gomes (RN),0,0
Macaíba (RN),1,3
Macau (RN),1,2
Major Sales (RN),0,0
Marcelino Vieira (RN),0,0
Martins (RN),0,0
Maxaranguape (RN),0,0
Messias Targino (RN),1,2
Montanhas (RN),0,0
Monte Alegre (RN),1,1
Monte das Gameleiras (RN),0,0
Mossoró (RN),1,3
Natal (RN),1,9
Nísia Floresta (RN),0,0
Nova Cruz (RN),1,3
Olho d'Água do Borges (RN),0,0
Ouro Branco (RN),0,0
Paraná (RN),0,0
Paraú (RN),0,0
Parazinho (RN),0,0
Parelhas (RN),1,3
Rio do Fogo (RN),0,0
Passa e Fica (RN),1,1
Passagem (RN),0,0
Patu (RN),0,0
Santa Maria (RN),0,0
Pau dos Ferros (RN),1,2
Pedra Grande (RN),0,0
Pedra Preta (RN),0,0
Pedro Avelino (RN),1,3
Pedro Velho (RN),1,3
Pendências (RN),1,1
Pilões (RN),1,1
Poço Branco (RN),0,0
Portalegre (RN),0,0
Porto do Mangue (RN),0,0
Serra Caiada (RN),1,1
Pureza (RN),0,0
Rafael Fernandes (RN),0,0
Rafael Godeiro (RN),0,0
Riacho da Cruz (RN),1,1
Riacho de Santana (RN),0,0
Riachuelo (RN),1,1
Rodolfo Fernandes (RN),0,0
Tibau (RN),0,0
Ruy Barbosa (RN),0,0
Santa Cruz (RN),1,1
Santana do Matos (RN),0,0
Santana do Seridó (RN),1,2
Santo Antônio (RN),1,1
São Bento do Norte (RN),0,0
São Bento do Trairí (RN),1,2
São Fernando (RN),1,1
São Francisco do Oeste (RN),0,0
São Gonçalo do Amarante (RN),1,8
São João do Sabugi (RN),0,0
São José de Mipibu (RN),1,1
São José do Campestre (RN),1,1
São José do Seridó (RN),1,1
São Miguel (RN),0,0
São Miguel do Gostoso (RN),0,0
São Paulo do Potengi (RN),1,1
São Pedro (RN),0,0
São Rafael (RN),1,1
São Tomé (RN),1,1
São Vicente (RN),0,0
Senador Elói de Souza (RN),0,0
Senador Georgino Avelino (RN),0,0
Serra de São Bento (RN),0,0
Serra do Mel (RN),0,0
Serra Negra do Norte (RN),1,1
Serrinha (RN),0,0
Serrinha dos Pintos (RN),0,0
Severiano Melo (RN),0,0
Sítio Novo (RN),1,1
Taboleiro Grande (RN),0,0
Taipu (RN),0,0
Tangará (RN),1,1
Tenente Ananias (RN),0,0
Tenente Laurentino Cruz (RN),0,0
Tibau do Sul (RN),1,6
Timbaúba dos Batistas (RN),1,1
Touros (RN),1,1
Triunfo Potiguar (RN),0,0
Umarizal (RN),0,0
Upanema (RN),0,0
Várzea (RN),0,0
Venha-Ver (RN),0,0
Vera Cruz (RN),0,0
Viçosa (RN),1,1
Vila Flor (RN),0,0
Água Branca (PB),1,3
Aguiar (PB),0,0
Alagoa Grande (PB),1,1
Alagoa Nova (PB),0,0
Alagoinha (PB),0,0
Alcantil (PB),0,0
Algodão de Jandaíra (PB),0,0
Alhandra (PB),0,0
São João do Rio do Peixe (PB),0,0
Amparo (PB),0,0
Aparecida (PB),0,0
Araçagi (PB),1,1
Arara (PB),0,0
Araruna (PB),1,1
Areia (PB),0,0
Areia de Baraúnas (PB),1,3
Areial (PB),0,0
Aroeiras (PB),1,1
Assunção (PB),0,0
Baía da Traição (PB),0,0
Bananeiras (PB),0,0
Baraúna (PB),0,0
Barra de Santana (PB),0,0
Barra de Santa Rosa (PB),0,0
Barra de São Miguel (PB),0,0
Bayeux (PB),0,0
Belém (PB),0,0
Belém do Brejo do Cruz (PB),1,2
Bernardino Batista (PB),1,1
Boa Ventura (PB),0,0
Boa Vista (PB),0,0
Bom Jesus (PB),1,1
Bom Sucesso (PB),0,0
Bonito de Santa Fé (PB),0,0
Boqueirão (PB),0,0
Igaracy (PB),0,0
Borborema (PB),0,0
Brejo do Cruz (PB),1,2
Brejo dos Santos (PB),0,0
Caaporã (PB),0,0
Cabaceiras (PB),1,1
Cabedelo (PB),0,0
Cachoeira dos Índios (PB),0,0
Cacimba de Areia (PB),1,1
Cacimba de Dentro (PB),0,0
Cacimbas (PB),1,1
Caiçara (PB),0,0
Cajazeiras (PB),1,1
Cajazeirinhas (PB),1,1
Caldas Brandão (PB),0,0
Camalaú (PB),1,1
Campina Grande (PB),1,2
Capim (PB),0,0
Caraúbas (PB),0,0
Carrapateira (PB),0,0
Casserengue (PB),1,2
Catingueira (PB),1,2
Catolé do Rocha (PB),1,1
Caturité (PB),1,1
Conceição (PB),0,0
Condado (PB),0,0
Conde (PB),0,0
Congo (PB),0,0
Coremas (PB),0,0
Coxixola (PB),0,0
Cruz do Espírito Santo (PB),1,2
Cubati (PB),0,0
Cuité (PB),0,0
Cuitegi (PB),0,0
Cuité de Mamanguape (PB),0,0
Curral de Cima (PB),0,0
Curral Velho (PB),0,0
Damião (PB),0,0
Desterro (PB),0,0
Vista Serrana (PB),0,0
Diamante (PB),0,0
Dona Inês (PB),0,0
Duas Estradas (PB),0,0
Emas (PB),0,0
Esperança (PB),0,0
Fagundes (PB),0,0
Frei Martinho (PB),1,1
Gado Bravo (PB),0,0
Guarabira (PB),1,1
Gurinhém (PB),0,0
Gurjão (PB),1,1
Ibiara (PB),0,0
Imaculada (PB),1,1
Ingá (PB),0,0
Itabaiana (PB),0,0
Itaporanga (PB),1,1
Itapororoca (PB),0,0
Itatuba (PB),0,0
Jacaraú (PB),0,0
Jericó (PB),0,0
João Pessoa (PB),1,2
Juarez Távora (PB),0,0
Juazeirinho (PB),0,0
Junco do Seridó (PB),0,0
Juripiranga (PB),1,1
Juru (PB),0,0
Lagoa (PB),0,0
Lagoa de Dentro (PB),1,1
Lagoa Seca (PB),1,2
Lastro (PB),0,0
Livramento (PB),0,0
Logradouro (PB),1,2
Lucena (PB),0,0
Mãe d'Água (PB),0,0
Malta (PB),0,0
Mamanguape (PB),1,1
Manaíra (PB),1,1
Marcação (PB),0,0
Mari (PB),0,0
Marizópolis (PB),1,1
Massaranduba (PB),0,0
Mataraca (PB),0,0
Matinhas (PB),1,1
Mato Grosso (PB),1,2
Maturéia (PB),1,1
Mogeiro (PB),0,0
Montadas (PB),0,0
Monte Horebe (PB),0,0
Monteiro (PB),1,1
Mulungu (PB),0,0
Natuba (PB),0,0
Nazarezinho (PB),0,0
Nova Floresta (PB),0,0
Nova Olinda (PB),0,0
Nova Palmeira (PB),1,1
Olho d'Água (PB),1,2
Olivedos (PB),0,0
Ouro Velho (PB),0,0
Parari (PB),0,0
Passagem (PB),1,5
Patos (PB),1,2
Paulista (PB),0,0
Pedra Branca (PB),1,1
Pedra Lavrada (PB),0,0
Pedras de Fogo (PB),1,1
Piancó (PB),0,0
Picuí (PB),1,1
Pilar (PB),0,0
Pilões (PB),0,0
Pilõezinhos (PB),0,0
Pirpirituba (PB),0,0
Pitimbu (PB),0,0
Pocinhos (PB),0,0
Poço Dantas (PB),1,1
Poço de José de Moura (PB),0,0
Pombal (PB),0,0
Prata (PB),1,1
Princesa Isabel (PB),0,0
Puxinanã (PB),0,0
Queimadas (PB),1,1
Quixaba (PB),1,1
Remígio (PB),1,3
Pedro Régis (PB),0,0
Riachão (PB),0,0
Riachão do Bacamarte (PB),0,0
Riachão do Poço (PB),0,0
Riacho de Santo Antônio (PB),0,0
Riacho dos Cavalos (PB),0,0
Rio Tinto (PB),0,0
Salgadinho (PB),1,2
Salgado de São Félix (PB),0,0
Santa Cecília (PB),0,0
Santa Cruz (PB),0,0
Santa Helena (PB),0,0
Santa Inês (PB),0,0
Santa Luzia (PB),1,1
Santana de Mangueira (PB),0,0
Santana dos Garrotes (PB),0,0
Joca Claudino (PB),0,0
Santa Rita (PB),0,0
Santa Teresinha (PB),0,0
Santo André (PB),0,0
São Bento (PB),1,3
São Bentinho (PB),1,1
São Domingos do Cariri (PB),0,0
São Domingos (PB),1,4
São Francisco (PB),0,0
São João do Cariri (PB),0,0
São João do Tigre (PB),0,0
São José da Lagoa Tapada (PB),0,0
São José de Caiana (PB),0,0
São José de Espinharas (PB),0,0
São José dos Ramos (PB),0,0
São José de Piranhas (PB),0,0
São José de Princesa (PB),0,0
São José do Bonfim (PB),0,0
São José do Brejo do Cruz (PB),1,1
São José do Sabugi (PB),0,0
São José dos Cordeiros (PB),0,0
São Mamede (PB),0,0
São Miguel de Taipu (PB),1,1
São Sebastião de Lagoa de Roça (PB),0,0
São Sebastião do Umbuzeiro (PB),0,0
Sapé (PB),1,1
São Vicente do Seridó (PB),0,0
Serra Branca (PB),0,0
Serra da Raiz (PB),0,0
Serra Grande (PB),0,0
Serra Redonda (PB),0,0
Serraria (PB),0,0
Sertãozinho (PB),0,0
Sobrado (PB),0,0
Solânea (PB),1,1
Soledade (PB),0,0
Sossêgo (PB),0,0
Sousa (PB),0,0
Sumé (PB),1,1
Tacima (PB),0,0
Taperoá (PB),0,0
Tavares (PB),1,1
Teixeira (PB),0,0
Tenório (PB),0,0
Triunfo (PB),0,0
Uiraúna (PB),1,2
Umbuzeiro (PB),0,0
Várzea (PB),0,0
Vieirópolis (PB),0,0
Zabelê (PB),1,2
Abreu e Lima (PE),1,1
Afogados da Ingazeira (PE),0,0
Afrânio (PE),0,0
Agrestina (PE),0,0
Água Preta (PE),1,2
Águas Belas (PE),0,0
Alagoinha (PE),0,0
Aliança (PE),0,0
Altinho (PE),0,0
Amaraji (PE),0,0
Angelim (PE),0,0
Araçoiaba (PE),0,0
Araripina (PE),1,2
Arcoverde (PE),1,2
Barra de Guabiraba (PE),0,0
Barreiros (PE),1,1
Belém de Maria (PE),0,0
Belém do São Francisco (PE),1,1
Belo Jardim (PE),0,0
Betânia (PE),0,0
Bezerros (PE),0,0
Bodocó (PE),1,11
Bom Conselho (PE),0,0
Bom Jardim (PE),1,1
Bonito (PE),0,0
Brejão (PE),0,0
Brejinho (PE),0,0
Brejo da Madre de Deus (PE),0,0
Buenos Aires (PE),0,0
Buíque (PE),0,0
Cabo de Santo Agostinho (PE),1,3
Cabrobó (PE),0,0
Cachoeirinha (PE),0,0
Caetés (PE),0,0
Calçado (PE),0,0
Calumbi (PE),0,0
Camaragibe (PE),1,1
Camocim de São Félix (PE),0,0
Camutanga (PE),0,0
Canhotinho (PE),0,0
Capoeiras (PE),0,0
Carnaíba (PE),1,5
Carnaubeira da Penha (PE),1,1
Carpina (PE),0,0
Caruaru (PE),1,4
Casinhas (PE),0,0
Catende (PE),0,0
Cedro (PE),0,0
Chã de Alegria (PE),0,0
Chã Grande (PE),0,0
Condado (PE),0,0
Correntes (PE),0,0
Cortês (PE),1,1
Cumaru (PE),0,0
Cupira (PE),0,0
Custódia (PE),0,0
Dormentes (PE),1,1
Escada (PE),0,0
Exu (PE),0,0
Feira Nova (PE),0,0
Fernando de Noronha (PE),1,2
Ferreiros (PE),1,2
Flores (PE),0,0
Floresta (PE),0,0
Frei Miguelinho (PE),0,0
Gameleira (PE),0,0
Garanhuns (PE),1,1
Glória do Goitá (PE),0,0
Goiana (PE),0,0
Granito (PE),1,1
Gravatá (PE),1,1
Iati (PE),0,0
Ibimirim (PE),0,0
Ibirajuba (PE),0,0
Igarassu (PE),1,3
Iguaracy (PE),0,0
Inajá (PE),0,0
Ingazeira (PE),0,0
Ipojuca (PE),1,2
Ipubi (PE),1,1
Itacuruba (PE),0,0
Itaíba (PE),0,0
Ilha de Itamaracá (PE),0,0
Itambé (PE),1,3
Itapetim (PE),0,0
Itapissuma (PE),1,2
Itaquitinga (PE),1,2
Jaboatão dos Guararapes (PE),1,9
Jaqueira (PE),0,0
Jataúba (PE),0,0
Jatobá (PE),0,0
João Alfredo (PE),0,0
Joaquim Nabuco (PE),0,0
Jucati (PE),0,0
Jupi (PE),0,0
Jurema (PE),0,0
Lagoa do Carro (PE),0,0
Lagoa de Itaenga (PE),0,0
Lagoa do Ouro (PE),0,0
Lagoa dos Gatos (PE),0,0
Lagoa Grande (PE),1,4
Lajedo (PE),0,0
Limoeiro (PE),0,0
Macaparana (PE),1,7
Machados (PE),0,0
Manari (PE),0,0
Maraial (PE),0,0
Mirandiba (PE),0,0
Moreno (PE),1,4
Nazaré da Mata (PE),1,1
Olinda (PE),1,1
Orobó (PE),1,1
Orocó (PE),0,0
Ouricuri (PE),0,0
Palmares (PE),0,0
Palmeirina (PE),0,0
Panelas (PE),0,0
Paranatama (PE),0,0
Parnamirim (PE),1,1
Passira (PE),0,0
Paudalho (PE),0,0
Paulista (PE),1,3
Pedra (PE),0,0
Pesqueira (PE),1,1
Petrolândia (PE),1,2
Petrolina (PE),1,10
Poção (PE),0,0
Pombos (PE),0,0
Primavera (PE),0,0
Quipapá (PE),0,0
Quixaba (PE),0,0
Recife (PE),1,19
Riacho das Almas (PE),0,0
Ribeirão (PE),0,0
Rio Formoso (PE),1,1
Sairé (PE),0,0
Salgadinho (PE),0,0
Salgueiro (PE),1,1
Saloá (PE),0,0
Sanharó (PE),0,0
Santa Cruz (PE),0,0
Santa Cruz da Baixa Verde (PE),0,0
Santa Cruz do Capibaribe (PE),0,0
Santa Filomena (PE),0,0
Santa Maria da Boa Vista (PE),0,0
Santa Maria do Cambucá (PE),0,0
Santa Terezinha (PE),0,0
São Benedito do Sul (PE),0,0
São Bento do Una (PE),0,0
São Caitano (PE),0,0
São João (PE),0,0
São Joaquim do Monte (PE),0,0
São José da Coroa Grande (PE),0,0
São José do Belmonte (PE),0,0
São José do Egito (PE),0,0
São Lourenço da Mata (PE),1,2
São Vicente Férrer (PE),1,2
Serra Talhada (PE),0,0
Serrita (PE),1,4
Sertânia (PE),0,0
Sirinhaém (PE),1,1
Moreilândia (PE),0,0
Solidão (PE),0,0
Surubim (PE),0,0
Tabira (PE),0,0
Tacaimbó (PE),0,0
Tacaratu (PE),0,0
Tamandaré (PE),1,1
Taquaritinga do Norte (PE),0,0
Terezinha (PE),0,0
Terra Nova (PE),1,2
Timbaúba (PE),1,1
Toritama (PE),0,0
Tracunhaém (PE),0,0
Trindade (PE),1,1
Triunfo (PE),0,0
Tupanatinga (PE),0,0
Tuparetama (PE),0,0
Venturosa (PE),0,0
Verdejante (PE),0,0
Vertente do Lério (PE),0,0
Vertentes (PE),0,0
Vicência (PE),1,4
Vitória de Santo Antão (PE),1,1
Xexéu (PE),0,0
Água Branca (AL),0,0
Anadia (AL),0,0
Arapiraca (AL),0,0
Atalaia (AL),0,0
Barra de Santo Antônio (AL),0,0
Barra de São Miguel (AL),1,1
Batalha (AL),1,1
Belém (AL),0,0
Belo Monte (AL),0,0
Boca da Mata (AL),0,0
Branquinha (AL),1,3
Cacimbinhas (AL),0,0
Cajueiro (AL),1,5
Campestre (AL),0,0
Campo Alegre (AL),1,3
Campo Grande (AL),0,0
Canapi (AL),0,0
Capela (AL),0,0
Carneiros (AL),0,0
Chã Preta (AL),0,0
Coité do Nóia (AL),0,0
Colônia Leopoldina (AL),0,0
Coqueiro Seco (AL),0,0
Coruripe (AL),1,1
Craíbas (AL),0,0
Delmiro Gouveia (AL),0,0
Dois Riachos (AL),0,0
Estrela de Alagoas (AL),0,0
Feira Grande (AL),0,0
Feliz Deserto (AL),0,0
Flexeiras (AL),1,2
Girau do Ponciano (AL),0,0
Ibateguara (AL),0,0
Igaci (AL),0,0
Igreja Nova (AL),0,0
Inhapi (AL),0,0
Jacaré dos Homens (AL),0,0
Jacuípe (AL),1,2
Japaratinga (AL),0,0
Jaramataia (AL),0,0
Jequiá da Praia (AL),0,0
Joaquim Gomes (AL),0,0
Jundiá (AL),0,0
Junqueiro (AL),0,0
Lagoa da Canoa (AL),0,0
Limoeiro de Anadia (AL),0,0
Maceió (AL),1,32
Major Isidoro (AL),0,0
Maragogi (AL),1,1
Maravilha (AL),0,0
Marechal Deodoro (AL),1,7
Maribondo (AL),0,0
Mar Vermelho (AL),1,1
Mata Grande (AL),0,0
Matriz de Camaragibe (AL),0,0
Messias (AL),0,0
Minador do Negrão (AL),0,0
Monteirópolis (AL),0,0
Murici (AL),0,0
Novo Lino (AL),0,0
Olho d'Água das Flores (AL),0,0
Olho d'Água do Casado (AL),0,0
Olho d'Água Grande (AL),0,0
Olivença (AL),0,0
Ouro Branco (AL),0,0
Palestina (AL),0,0
Palmeira dos Índios (AL),1,2
Pão de Açúcar (AL),0,0
Pariconha (AL),0,0
Paripueira (AL),0,0
Passo de Camaragibe (AL),0,0
Paulo Jacinto (AL),1,1
Penedo (AL),1,1
Piaçabuçu (AL),0,0
Pilar (AL),1,6
Pindoba (AL),0,0
Piranhas (AL),1,2
Poço das Trincheiras (AL),0,0
Porto Calvo (AL),0,0
Porto de Pedras (AL),0,0
Porto Real do Colégio (AL),0,0
Quebrangulo (AL),1,11
Rio Largo (AL),1,1
Roteiro (AL),0,0
Santa Luzia do Norte (AL),0,0
Santana do Ipanema (AL),1,1
Santana do Mundaú (AL),1,1
São Brás (AL),0,0
São José da Laje (AL),0,0
São José da Tapera (AL),0,0
São Luís do Quitunde (AL),0,0
São Miguel dos Campos (AL),1,3
São Miguel dos Milagres (AL),0,0
São Sebastião (AL),0,0
Satuba (AL),0,0
Senador Rui Palmeira (AL),0,0
Tanque d'Arca (AL),0,0
Taquarana (AL),0,0
Teotônio Vilela (AL),1,1
Traipu (AL),0,0
União dos Palmares (AL),1,4
Viçosa (AL),0,0
Amparo do São Francisco (SE),0,0
Aquidabã (SE),0,0
Aracaju (SE),1,3
Arauá (SE),0,0
Areia Branca (SE),0,0
Barra dos Coqueiros (SE),1,1
Boquim (SE),0,0
Brejo Grande (SE),0,0
Campo do Brito (SE),0,0
Canhoba (SE),0,0
Canindé de São Francisco (SE),0,0
Capela (SE),0,0
Carira (SE),0,0
Carmópolis (SE),0,0
Cedro de São João (SE),0,0
Cristinápolis (SE),0,0
Cumbe (SE),0,0
Divina Pastora (SE),0,0
Estância (SE),1,4
Feira Nova (SE),0,0
Frei Paulo (SE),0,0
Gararu (SE),0,0
General Maynard (SE),0,0
Graccho Cardoso (SE),0,0
Ilha das Flores (SE),0,0
Indiaroba (SE),0,0
Itabaiana (SE),0,0
Itabaianinha (SE),0,0
Itabi (SE),0,0
Itaporanga d'Ajuda (SE),1,1
Japaratuba (SE),0,0
Japoatã (SE),0,0
Lagarto (SE),1,2
Laranjeiras (SE),0,0
Macambira (SE),1,1
Malhada dos Bois (SE),0,0
Malhador (SE),0,0
Maruim (SE),0,0
Moita Bonita (SE),0,0
Monte Alegre de Sergipe (SE),0,0
Muribeca (SE),0,0
Neópolis (SE),0,0
Nossa Senhora Aparecida (SE),0,0
Nossa Senhora da Glória (SE),1,3
Nossa Senhora das Dores (SE),0,0
Nossa Senhora de Lourdes (SE),0,0
Nossa Senhora do Socorro (SE),1,1
Pacatuba (SE),0,0
Pedra Mole (SE),0,0
Pedrinhas (SE),0,0
Pinhão (SE),0,0
Pirambu (SE),0,0
Poço Redondo (SE),0,0
Poço Verde (SE),0,0
Porto da Folha (SE),0,0
Propriá (SE),1,1
Riachão do Dantas (SE),0,0
Riachuelo (SE),0,0
Ribeirópolis (SE),0,0
Rosário do Catete (SE),0,0
Salgado (SE),0,0
Santa Luzia do Itanhy (SE),0,0
Santana do São Francisco (SE),0,0
Santa Rosa de Lima (SE),0,0
Santo Amaro das Brotas (SE),0,0
São Cristóvão (SE),1,1
São Domingos (SE),0,0
São Francisco (SE),0,0
São Miguel do Aleixo (SE),0,0
Simão Dias (SE),1,1
Siriri (SE),0,0
Telha (SE),0,0
Tobias Barreto (SE),0,0
Tomar do Geru (SE),0,0
Umbaúba (SE),0,0
Abaíra (BA),0,0
Abaré (BA),1,1
Acajutiba (BA),0,0
Adustina (BA),0,0
Água Fria (BA),0,0
Érico Cardoso (BA),0,0
Aiquara (BA),0,0
Alagoinhas (BA),1,24
Alcobaça (BA),0,0
Almadina (BA),0,0
Amargosa (BA),1,1
Amélia Rodrigues (BA),0,0
América Dourada (BA),0,0
Anagé (BA),0,0
Andaraí (BA),0,0
Andorinha (BA),0,0
Angical (BA),0,0
Anguera (BA),0,0
Antas (BA),0,0
Antônio Cardoso (BA),0,0
Antônio Gonçalves (BA),0,0
Aporá (BA),0,0
Apuarema (BA),0,0
Aracatu (BA),0,0
Araçás (BA),0,0
Araci (BA),1,2
Aramari (BA),0,0
Arataca (BA),0,0
Aratuípe (BA),0,0
Aurelino Leal (BA),0,0
Baianópolis (BA),0,0
Baixa Grande (BA),0,0
Banzaê (BA),0,0
Barra (BA),1,1
Barra da Estiva (BA),0,0
Barra do Choça (BA),1,2
Barra do Mendes (BA),0,0
