Município,Municípios com serviço de esgotamento sanitário por rede coletora em funcionamento e com ETEs (Unidades),Número de ETEs (Unidades)
Limoeiro do Ajuru (PA),0,0
Mãe do Rio (PA),0,0
Magalhães Barata (PA),0,0
Marabá (PA),0,0
Maracanã (PA),0,0
Marapanim (PA),0,0
Marituba (PA),0,0
Medicilândia (PA),0,0
Melgaço (PA),0,0
Mocajuba (PA),0,0
Moju (PA),0,0
Mojuí dos Campos (PA),0,0
Monte Alegre (PA),0,0
Muaná (PA),0,0
Nova Esperança do Piriá (PA),0,0
Nova Ipixuna (PA),0,0
Nova Timboteua (PA),0,0
Novo Progresso (PA),0,0
Novo Repartimento (PA),0,0
Óbidos (PA),0,0
Oeiras do Pará (PA),0,0
Oriximiná (PA),1,1
Ourém (PA),0,0
Ourilândia do Norte (PA),0,0
Pacajá (PA),0,0
Palestina do Pará (PA),0,0
Paragominas (PA),1,4
Parauapebas (PA),1,5
Pau D'Arco (PA),0,0
Peixe-Boi (PA),0,0
Piçarra (PA),0,0
Placas (PA),0,0
Ponta de Pedras (PA),0,0
Portel (PA),0,0
Porto de Moz (PA),0,0
Prainha (PA),0,0
Primavera (PA),0,0
Quatipuru (PA),0,0
Redenção (PA),1,2
Rio Maria (PA),0,0
Rondon do Pará (PA),0,0
Rurópolis (PA),0,0
Salinópolis (PA),0,0
Salvaterra (PA),0,0
Santa Bárbara do Pará (PA),0,0
Santa Cruz do Arari (PA),0,0
Santa Izabel do Pará (PA),0,0
Santa Luzia do Pará (PA),0,0
Santa Maria das Barreiras (PA),0,0
Santa Maria do Pará (PA),0,0
Santana do Araguaia (PA),0,0
Santarém (PA),1,2
Santarém Novo (PA),0,0
Santo Antônio do Tauá (PA),0,0
São Caetano de Odivelas (PA),0,0
São Domingos do Araguaia (PA),0,0
São Domingos do Capim (PA),0,0
São Félix do Xingu (PA),0,0
São Francisco do Pará (PA),0,0
São Geraldo do Araguaia (PA),1,1
São João da Ponta (PA),0,0
São João de Pirabas (PA),0,0
São João do Araguaia (PA),0,0
São Miguel do Guamá (PA),0,0
São Sebastião da Boa Vista (PA),0,0
Sapucaia (PA),0,0
Senador José Porfírio (PA),0,0
Soure (PA),0,0
Tailândia (PA),0,0
Terra Alta (PA),0,0
Terra Santa (PA),0,0
Tomé-Açu (PA),0,0
Tracuateua (PA),0,0
Trairão (PA),0,0
Tucumã (PA),0,0
Tucuruí (PA),1,1
Ulianópolis (PA),0,0
Uruará (PA),0,0
Vigia (PA),0,0
Viseu (PA),0,0
Vitória do Xingu (PA),1,8
Xinguara (PA),0,0
Serra do Navio (AP),0,0
Amapá (AP),0,0
Pedra Branca do Amapari (AP),0,0
Calçoene (AP),0,0
Cutias (AP),0,0
Ferreira Gomes (AP),0,0
Itaubal (AP),0,0
Laranjal do Jari (AP),0,0
Macapá (AP),1,2
Mazagão (AP),0,0
Oiapoque (AP),0,0
Porto Grande (AP),0,0
Pracuúba (AP),0,0
Santana (AP),0,0
Tartarugalzinho (AP),0,0
Vitória do Jari (AP),0,0
Abreulândia (TO),0,0
Aguiarnópolis (TO),1,1
Aliança do Tocantins (TO),0,0
Almas (TO),0,0
Alvorada (TO),0,0
Ananás (TO),0,0
Angico (TO),0,0
Aparecida do Rio Negro (TO),0,0
Aragominas (TO),0,0
Araguacema (TO),0,0
Araguaçu (TO),0,0
Araguaína (TO),1,2
Araguanã (TO),0,0
Araguatins (TO),0,0
Arapoema (TO),0,0
Arraias (TO),0,0
Augustinópolis (TO),1,1
Aurora do Tocantins (TO),0,0
Axixá do Tocantins (TO),1,3
Babaçulândia (TO),0,0
Bandeirantes do Tocantins (TO),0,0
Barra do Ouro (TO),0,0
Barrolândia (TO),0,0
Bernardo Sayão (TO),0,0
Bom Jesus do Tocantins (TO),0,0
Brasilândia do Tocantins (TO),0,0
Brejinho de Nazaré (TO),0,0
Buriti do Tocantins (TO),0,0
Cachoeirinha (TO),0,0
Campos Lindos (TO),0,0
Cariri do Tocantins (TO),0,0
Carmolândia (TO),0,0
Carrasco Bonito (TO),1,1
Caseara (TO),0,0
